,county,pop2010all,pop2014all,pop2017all,median_age_2010,median_age_2014,median_age_2017,fips,met_healthy_people_obj,age_adjust_death_rate,death_lower_95_CI,death_upper_95_CI,avg_ann_count,recent_trend,recent_5yr_trend,5yr_lower_95_CI,5yr_upper_95_CI,hospice_count,pop2010_50_and_over,pop2014_50_and_over,pop2017_50_and_over,percent_pop2010_50_and_over,percent_pop2014_50_and_over,percent_pop2017_50_and_over,normalized_hospice_rate,FIPS,State,2010_HealthOutcomes_Z-Score,2010_HealthOutcomes_Rank,2010_HealthFactors_Z-Score,2010_HealthFactors_Rank,2010_Mortality_Z-Score,2010_Mortality_Rank,2010_Morbidity_Z-Score,2010_Morbidity_Rank,2010_HealthBehaviors_Z-Score,2010_HealthBehaviors_Rank,2010_ClinicalCare_Z-Score,2010_ClinicalCare_Rank,2014_HealthOutcomes_Z-Score,2014_HealthOutcomes_Rank,2014_HealthFactors_Z-Score,2014_HealthFactors_Rank,2014_Length_of_Life_Z-Score,2014_Length_of_Life_Rank,2014_Quality_of_Life_Z-Score,2014_Quality_of_Life_Rank,2014_HealthBehaviors_Z-Score,2014_HealthBehaviors_Rank,2014_ClinicalCare_Z-Score,2014_ClinicalCare_Rank,2017_HealthOutcomes_Z-Score,2017_HealthOutcomes_Rank,2017_HealthFactors_Z-Score,2017_HealthFactors_Rank,2017_Length_of_Life_Z-Score,2017_Length_of_Life_Rank,2017_Quality_of_Life_Z-Score,2017_Quality_of_Life_Rank,2017_HealthBehaviors_Z-Score,2017_HealthBehaviors_Rank,2017_ClinicalCare_Z-Score,2017_ClinicalCare_Rank,2010_Percent_Fair_Poor_Health,2010_Percent_Smokers,2010_Percent_Obese,2010_Percent_Uninsured,2010_Air_Pollution_Part_Matter_Z-Score,2014_Percent_Fair_Poor_Health,2014_Percent_Smokers,2014_Percent_Obese,2014_Food_Environ_Index_Z-Score,2014_Percent_Physically_Inactive,2014_Percent_Uninsured,2014_Air_Pollution_Part_Matter_Z-Score,2017_Percent_Fair_Poor_Health,2017_Percent_Smokers,2017_Percent_Obese,2017_Food_Environ_Index_Z-Score,2017_Percent_Physically_Inactive,2017_Percent_Uninsured,2017_Air_Pollution_Part_Matter_Z-Score
10,Cheatham,39122,39604,40330,39.4,40.5,40.9,47021,No,239.6,217.8,263.0,97,stable,-0.6,-1.4,0.3,0,12647,14101,15044,32.32707939,35.604989399999994,37.30225638,0.0,47021,Tennessee,-0.52,20,-0.45,12,-0.19,34,-0.33,11,-0.05,35,-0.03,39,-0.49,21,-0.54,11,-0.24,31,-0.25,19,-0.1,18,-0.11,17,-0.67,18,-0.51,11,-0.16,33,-0.5,7,-0.15,12,-0.04,31,17.69,,29.8,13.6,0.035486941,17.5,30.5,29.7,-2.022059229,33.6,15.26194572,1.6671978809999999,17.45647689,19.99212754,33.8,-1.9681090419999998,32.6,13.55917367,0.648224311
11,Chester,17193,17101,17119,36.3,37.5,38.0,47023,No,178.4,153.5,206.5,38,stable,-0.4,-1.5,0.8,0,5626,5977,6129,32.72261967,34.95117245,35.8023249,0.0,47023,Tennessee,-0.88,8,-0.14,28,-0.71,6,-0.17,30,0.01,45,-0.05,29,-0.82,12,-0.23,25,-0.26,28,-0.56,2,-0.07,26,0.06,71,-0.92,11,-0.25,24,-0.54,10,-0.38,14,-0.08,26,-0.03,38,18.92,,30.9,14.0,0.456894367,17.1,20.7,35.9,-0.095700511,28.8,17.71776228,-0.21591299600000002,21.5265405,21.23798301,32.0,0.112642171,29.8,13.75987956,-1.0261919609999999
12,Claiborne,32216,31529,31609,41.1,42.7,43.2,47025,No,237.3,216.4,259.8,100,stable,-0.1,-0.7,0.4,1,12114,12567,12966,37.60243357,39.85854293,41.01996267,3.163655921,47025,Tennessee,0.39,72,-0.14,27,0.24,70,0.16,71,-0.17,12,-0.02,44,1.16,93,0.35,79,0.64,87,0.52,90,0.09,76,0.04,61,1.04,85,0.31,77,0.71,88,0.33,79,0.02,54,0.08,73,30.08,20.4,30.0,11.1,-0.80732791,31.2,33.3,31.7,0.7541607109999999,36.5,16.18176888,-1.18784119,20.47570155,23.59014228,30.8,0.8557676040000001,32.6,14.78659155,0.648224311
13,Clay,7851,7639,7703,45.1,46.5,47.3,47027,No,209.1,174.1,250.3,26,stable,-1.0,-2.0,0.0,0,3296,3413,3558,41.98191313,44.67862286,46.18979618,0.0,47027,Tennessee,0.27,66,0.51,88,0.63,84,-0.36,8,0.04,62,0.25,94,0.55,76,0.38,80,0.59,85,-0.04,44,0.04,64,0.25,90,0.58,72,0.43,81,0.61,85,-0.03,43,-0.04,38,0.18,90,,,31.6,16.6,-0.80732791,26.5,32.3,31.0,-0.830187059,31.4,19.86368062,0.067566061,22.28783039,22.97579874,31.3,-0.630483262,32.9,16.11092208,-0.468053204
14,Cocke,35641,35201,35556,43.0,44.4,45.3,47029,No,222.1,203.5,242.2,110,stable,-0.5,-1.0,0.0,1,14097,14866,15458,39.55276227,42.23175478,43.47508156,2.812464844,47029,Tennessee,0.79,88,0.22,73,0.66,86,0.13,66,0.1,80,-0.14,9,0.94,88,0.48,84,0.47,81,0.47,86,0.04,65,0.04,62,1.29,91,0.65,89,0.93,93,0.35,83,0.21,89,0.03,51,16.4,26.47,31.2,11.8,-0.80732791,26.7,21.2,33.4,1.602223367,37.8,18.62349562,-1.0663501659999999,22.10354628,24.17679998,34.4,1.4502679509999998,41.3,15.03205806,-0.282006951
15,Coffee,52770,53521,55034,39.8,40.0,39.8,47031,No,194.2,179.4,209.9,131,falling,-0.7,-1.2,-0.2,1,18825,19835,20631,35.67367823,37.06021935,37.48773485,1.817058546,47031,Tennessee,-0.06,45,-0.16,24,0.19,66,-0.24,20,0.03,52,0.04,67,-0.21,38,-0.07,38,-0.04,47,-0.17,30,0.04,61,-0.02,37,-0.14,41,0.04,53,0.06,53,-0.2,27,0.11,77,-0.01,42,16.8,25.68,31.0,14.5,-0.80732791,18.8,25.7,34.5,-0.131030168,33.3,17.29374433,0.14856007699999998,19.905879100000003,22.2953256,35.9,-0.035982916000000004,33.9,14.71739967,-0.09596069900000001
16,Crockett,14588,14645,14473,39.6,40.0,40.5,47033,No,164.1,139.1,192.7,31,stable,-0.5,-1.3,0.4,0,5196,5540,5623,35.61831642,37.82861045,38.85165481,0.0,47033,Tennessee,-0.43,22,0.23,76,-0.05,46,-0.38,6,0.03,56,0.17,89,0.04,50,0.21,67,0.24,75,-0.2,26,0.08,73,0.06,70,0.04,48,0.08,54,0.03,51,0.0,45,0.07,67,0.11,83,15.07,,29.9,20.7,0.878301792,22.9,27.1,34.6,-0.144561886,36.1,18.83818797,0.249802597,24.00943396,23.51401142,33.0,-0.630483262,32.1,17.97743488,-0.09596069900000001
17,Cumberland,56197,57836,59078,48.4,50.0,51.4,47035,No,174.4,162.5,187.0,182,falling,-0.8,-1.3,-0.3,1,26931,28920,30402,47.92248697,50.00345805,51.46078066,1.692677477,47035,Tennessee,-0.06,44,-0.29,19,-0.3,21,0.25,80,-0.27,4,0.0,51,-0.21,36,-0.43,15,0.02,54,-0.24,21,-0.27,3,-0.1,18,0.08,50,-0.34,18,0.22,67,-0.14,31,-0.22,6,-0.11,16,25.44,22.8,27.1,16.9,-0.80732791,21.4,17.4,28.6,-0.6036515170000001,28.0,19.71667553,0.006820549,19.36506962,19.51945982,29.2,-0.630483262,33.0,16.1682494,-0.282006951
18,Davidson,627973,670314,691243,34.0,34.4,34.4,47037,No,184.7,179.8,189.7,1137,falling,-1.5,-1.7,-1.2,8,176005,195492,202902,28.02747889,29.16424243,29.35320864,1.157335409,47037,Tennessee,-0.63,17,-0.09,35,-0.37,17,-0.25,17,-0.1,25,-0.15,8,-0.75,13,-0.23,24,-0.38,19,-0.38,11,-0.2,7,-0.11,16,-1.08,7,-0.28,21,-0.6,8,-0.48,9,-0.12,19,-0.11,17,15.94,20.74,30.1,16.6,3.406746345,14.4,17.2,30.3,1.1617505209999999,26.9,19.43648932,1.4444643369999999,17.67029966,20.22465432,30.9,1.0043926909999998,24.3,16.43515193,1.392409321
19,Decatur,11718,11680,11751,44.3,45.5,45.8,47039,No,208.7,179.4,242.1,39,stable,-0.2,-1.2,0.8,0,4954,5193,5272,42.27683905,44.46061644,44.86426687,0.0,47039,Tennessee,0.46,74,0.04,50,0.74,90,-0.29,15,-0.11,23,0.13,85,0.54,75,0.07,53,0.8,88,-0.26,18,-0.1,19,0.06,69,-0.2,35,0.33,78,0.04,52,-0.24,25,-0.02,43,0.09,76,,,27.9,16.8,-0.385920484,25.1,17.5,33.3,-0.41140639100000004,39.2,18.40844764,1.019245751,19.40242169,20.78193075,36.3,-0.184608002,35.3,16.16150319,-1.398284466
20,DeKalb,18695,19219,19852,41.0,41.7,42.5,47041,No,178.8,155.4,204.9,44,stable,-0.6,-1.4,0.3,0,6871,7420,7893,36.75314255,38.60762787,39.75921821,0.0,47041,Tennessee,0.64,80,-0.13,29,0.74,91,-0.1,37,-0.12,22,0.04,61,0.76,82,0.06,50,0.85,90,-0.09,40,0.0,50,0.1,78,0.57,71,0.03,51,0.42,78,0.15,65,-0.04,37,0.11,82,22.83,20.33,29.4,15.9,-0.80732791,22.6,24.4,31.9,-1.120977922,37.0,20.22314313,0.735766695,21.15024284,21.4521491,31.8,-0.927733435,32.9,17.96536797,-0.654099456
21,Dickson,49693,50473,52853,38.8,39.9,39.9,47043,No,201.1,184.9,218.4,117,falling,-0.6,-1.0,-0.2,0,16455,18072,19433,33.11331576,35.80528203,36.76801695,0.0,47043,Tennessee,-0.28,31,-0.08,39,-0.29,22,0.01,51,0.14,85,-0.09,14,-0.11,46,-0.17,31,-0.01,48,-0.09,37,-0.02,46,-0.05,32,-0.71,16,-0.04,40,-0.44,15,-0.27,22,0.11,78,-0.04,37,26.34,32.89,30.0,15.0,0.035486941,22.4,26.1,32.0,-0.49661981899999996,34.0,17.65350366,1.9506769380000002,19.22571301,22.78274484,35.9,-0.630483262,37.8,14.21726365,-0.468053204
22,Dyer,38318,37815,37463,39.3,39.8,39.7,47045,No,182.9,165.7,201.4,86,falling,-0.6,-1.1,-0.1,0,13281,13795,13932,34.65995094,36.48023271,37.18869284,0.0,47045,Tennessee,0.24,64,0.39,85,0.05,54,0.19,75,0.33,92,-0.1,13,-0.26,33,0.31,75,-0.35,23,0.09,61,0.26,90,-0.06,26,0.7,77,0.25,68,0.17,63,0.53,89,0.24,91,-0.05,29,25.36,32.85,33.2,11.2,2.563931494,19.3,33.3,33.6,2.4736039340000002,39.9,15.25223658,-0.053924963,22.51229216,23.47466999,37.2,1.89614321,34.2,12.54671479,-0.09596069900000001
23,Fayette,38429,39031,40036,42.0,44.5,46.0,47047,Yes,154.3,139.1,170.7,81,falling,-1.4,-2.2,-0.5,1,14891,16736,17872,38.74938198,42.87873741,44.63982416,2.4977520230000003,47047,Tennessee,-0.57,19,0.28,82,-0.33,19,-0.24,22,0.12,82,0.14,86,-0.65,17,-0.18,29,-0.4,15,-0.25,20,0.0,53,-0.13,12,-1.08,6,-0.23,25,-0.67,6,-0.42,11,-0.08,25,-0.12,14,14.21,23.58,33.8,19.7,0.456894367,16.3,21.3,36.9,-0.22090727,34.9,14.16648432,-1.471320247,19.59435766,20.19475339,31.1,-0.035982916000000004,31.4,12.37836976,-0.282006951
24,Fentress,17920,17838,18136,42.4,44.3,45.4,47049,No,211.1,185.3,239.8,52,stable,-0.5,-1.2,0.3,1,6992,7492,7913,39.01785714,42.00022424,43.63145126,5.513895015,47049,Tennessee,1.71,94,0.52,89,1.35,95,0.36,84,0.0,43,0.18,91,1.15,92,0.33,78,0.9,91,0.25,77,-0.04,39,0.1,80,0.7,78,0.46,84,0.34,72,0.36,84,0.07,65,0.16,89,,,30.0,15.8,-0.80732791,32.6,21.2,34.9,-0.6581928570000001,39.8,17.86004331,-0.29690701199999997,23.60433816,24.2918862,35.5,-0.630483262,29.2,16.42937694,-1.0261919609999999
25,Franklin,40961,41268,41652,41.4,41.9,42.2,47051,No,184.1,168.4,201.0,105,falling,-0.8,-1.3,-0.2,0,15741,16521,16908,38.42923757,40.03343995,40.59348891,0.0,47051,Tennessee,-0.88,7,-0.25,20,-0.4,14,-0.48,3,0.05,63,-0.03,37,-0.22,34,-0.35,18,-0.11,39,-0.11,35,-0.06,33,-0.04,35,-0.16,38,-0.42,15,-0.1,39,-0.06,37,-0.15,10,-0.04,34,16.56,30.66,30.1,14.7,-0.80732791,17.8,23.9,31.5,-0.36603913200000004,38.4,15.74287674,-0.49939205299999995,19.57164381,20.31794143,30.9,-0.333233089,29.0,13.42808521,0.090085554
26,Gibson,49734,49368,49111,40.0,39.9,39.7,47053,No,202.0,186.6,218.3,132,stable,-0.4,-1.0,0.2,0,17963,18348,18406,36.11814855,37.165775399999994,37.47836534,0.0,47053,Tennessee,0.25,65,0.34,84,0.17,65,0.08,59,0.25,89,-0.04,34,0.4,73,0.33,77,0.38,79,0.02,53,0.28,93,-0.06,27,0.31,64,-0.14,33,0.07,55,0.24,73,0.03,59,-0.11,15,23.68,36.26,30.2,14.7,0.456894367,22.6,30.1,37.1,1.0345752590000001,38.5,15.89238495,0.7155181909999999,22.14263626,21.95983694,32.3,0.8557676040000001,34.1,12.85420334,0.27613180600000004
27,Giles,29420,28824,29401,42.3,43.5,43.7,47055,No,193.7,174.5,214.7,78,stable,-0.7,-1.5,0.1,0,11399,11935,12375,38.74575119,41.40646683,42.09040509,0.0,47055,Tennessee,-0.4,24,0.08,54,-0.25,23,-0.15,32,0.14,86,-0.04,36,-0.38,26,-0.02,45,-0.07,43,-0.31,14,0.09,75,-0.09,20,-0.13,43,-0.26,23,-0.07,45,-0.06,38,-0.15,11,-0.07,21,25.09,25.9,32.7,13.5,0.456894367,18.6,26.3,36.1,0.188006582,31.5,17.09383783,-0.25641000399999997,20.24943755,20.223179100000003,32.1,-0.035982916000000004,30.3,14.30375338,1.020316816
28,Grainger,22721,22865,23144,42.2,43.8,45.1,47057,No,222.0,197.9,248.4,66,stable,0.1,-0.7,1.0,0,8656,9224,9870,38.09691475,40.34113274,42.64604217,0.0,47057,Tennessee,-0.29,30,-0.09,34,-0.06,45,-0.23,24,-0.13,19,0.1,77,0.01,47,0.13,58,0.06,58,-0.05,43,-0.01,49,0.14,86,0.71,79,0.18,62,0.63,87,0.08,61,0.12,83,0.04,59,20.91,,28.4,16.8,-0.80732791,19.9,26.3,30.0,-0.920728375,38.2,18.73124506,-1.106847174,20.55115212,23.561930399999998,35.0,-1.076358522,35.2,16.15720524,1.206363069
29,Greene,68838,68440,68808,42.7,44.1,44.9,47059,No,185.6,173.4,198.4,181,falling,-3.2,-4.9,-1.5,0,27133,28638,29642,39.41572968,41.84395091,43.07929311,0.0,47059,Tennessee,-0.09,41,0.13,63,-0.12,42,0.03,53,0.05,64,-0.04,33,0.19,60,0.09,55,0.11,64,0.08,60,0.04,63,-0.02,38,0.05,49,-0.14,32,0.0,50,0.05,55,-0.08,24,-0.04,33,21.91,28.88,31.2,14.6,-0.80732791,20.7,28.6,35.4,0.02868837,38.8,18.21276901,-1.228338199,20.1946225,22.18960854,29.8,-0.035982916000000004,36.0,15.06631498,0.648224311
30,Grundy,13725,13374,13361,41.4,42.8,43.1,47061,No,210.7,181.5,243.6,40,stable,0.5,-0.6,1.6,0,5298,5427,5499,38.6010929,40.57873486,41.15709902,0.0,47061,Tennessee,1.81,95,0.26,81,1.16,94,0.65,94,-0.13,20,0.12,84,2.33,95,0.51,87,1.5,95,0.83,95,-0.02,43,0.19,88,2.36,95,0.65,90,1.5,95,0.86,93,0.09,72,0.16,86,,,27.1,13.7,-0.80732791,35.9,27.0,30.6,0.525152215,33.8,18.40290381,-0.13491898,25.14105485,25.27158485,31.3,0.5585174310000001,37.2,16.84849635,-1.0261919609999999
31,Hamblen,62514,62952,64277,39.6,40.7,40.8,47063,No,189.8,176.4,203.9,155,falling,-0.8,-1.4,-0.1,1,22209,23413,24358,35.52644208,37.19182869,37.89535915,1.5557664480000002,47063,Tennessee,-0.29,29,0.09,56,-0.21,30,-0.08,41,-0.01,41,0.04,65,0.13,57,-0.04,42,-0.06,46,0.19,73,-0.01,48,-0.01,43,0.25,62,0.04,52,0.07,56,0.18,68,0.07,66,0.01,46,22.9,27.18,29.4,17.3,-0.385920484,26.0,22.7,31.2,0.7762741870000001,37.3,19.82756976,-1.147344182,22.60386585,23.77614194,30.8,0.7071425170000001,30.0,16.89609582,1.392409321
32,Hamilton,337262,350602,361613,39.3,39.7,39.6,47065,No,172.6,167.0,178.3,743,stable,0.1,-1.5,1.8,5,119569,128645,134468,35.45285268,36.69260301,37.18561003,1.382693653,47065,Tennessee,-0.35,26,-0.56,5,-0.5,12,0.15,70,-0.22,7,-0.26,2,-0.35,29,-0.62,9,-0.39,16,0.04,55,-0.15,15,-0.2,7,-0.52,25,-0.5,12,-0.59,9,0.06,57,-0.13,15,-0.21,6,16.84,20.27,28.5,14.9,1.299709218,18.0,19.2,30.6,1.198650644,29.2,16.24394465,-0.519640557,19.74799643,21.35072033,30.2,1.301642864,27.2,13.05063238,1.950548079
33,Hancock,6802,6624,6600,42.9,43.5,44.3,47067,No,236.2,193.1,287.1,22,stable,0.4,-0.8,1.6,1,2721,2770,2851,40.00294031,41.81763285,43.196969700000004,15.15151515,47067,Tennessee,0.95,90,0.12,62,1.11,93,-0.16,31,-0.03,37,0.0,48,1.65,94,1.2,95,1.19,94,0.45,85,0.28,92,0.26,92,0.81,81,0.99,94,0.3,71,0.51,87,0.14,84,0.26,94,,,29.5,11.6,-0.80732791,29.3,39.6,30.3,0.779243195,40.9,18.02677425,-1.268835207,24.47164853,25.74819565,30.6,0.112642171,35.8,14.59000943,-0.09596069900000001
34,Hardeman,27171,25931,25447,39.3,40.1,40.3,47069,No,196.5,175.1,220.1,63,stable,-0.4,-1.2,0.4,0,9292,9575,9621,34.19822605,36.92491612,37.80799308,0.0,47069,Tennessee,1.44,93,0.71,93,0.45,78,0.99,95,0.46,94,0.05,68,0.3,65,0.59,89,-0.01,50,0.3,81,0.23,87,-0.01,45,0.73,80,0.52,86,-0.08,43,0.81,92,0.26,92,-0.04,36,28.39,,37.5,13.1,0.456894367,27.6,27.3,36.9,2.408385619,35.6,16.26621196,-1.08659867,27.48791491,24.48065418,37.8,2.78789373,32.5,14.08233087,-0.8401457090000001
35,Hardin,26054,25794,25846,43.7,44.8,45.6,47071,No,190.8,171.2,212.2,74,stable,-0.1,-1.0,0.9,0,10678,11106,11423,40.98410993,43.05652477,44.19639403,0.0,47071,Tennessee,0.59,77,0.17,65,0.46,79,0.13,68,-0.07,30,0.01,56,0.59,77,0.19,64,0.48,82,0.11,65,0.0,51,0.02,54,0.98,84,0.27,74,0.71,89,0.27,76,0.09,73,0.03,52,23.97,25.85,29.3,13.1,0.456894367,27.1,23.6,32.8,0.152476936,36.8,18.29058193,-0.49939205299999995,22.5755151,24.79402075,31.9,0.261267258,33.0,15.33844943,-1.0261919609999999
